_id,url,title,update_time,image_url,sectors,salary,job_formality,job_experience_years,application_deadline,required_gender_specific,job_attributes,job_descriptions,job_requirements,company_name,company_address,company_url,timestampISOdate
{'$oid': '61b5dde6ac3da49adc03e47e'},https://mywork.com.vn/tuyen-dung/viec-lam/100141451/nhan-vien-tho-nhom-kinh-thu-nhap-len-toi-12trieu-thang.html?svs=max_box,Nhân Viên Thợ Nhôm - Kính Thu Nhập Lên Tới 12Triệu / Tháng,2021-11-29,https://cdn.mywork.com.vn/images/employer_avatar/2021/11/20/images/163737515071.jpeg,"['Lao động phổ thông', 'Cơ khí - Chế tạo', 'Kỹ thuật']",9 - 12 triệu,Nhân viên,3 năm,1639872000000,Nam,Toàn thời gian cố định,"- Địa điểm: Làm việc tại Liên ấp 2-6, KCN Vĩnh Lộc.- Lắp ráp các loại cửa nhôm Xingfa, cửa nhôm kính, cửa kính cường lực và các sản phẩm nhôm kính khác của công ty trực tiếp tại địa điểm công trình- Quản lý vật tư, phụ kiện &amp; điều phối thợ phụ làm việc- Báo cáo tiến độ dự án &amp; các vấn đề liên quan đến cấp trên trực tiếp- Thử việc 1 tháng.","- Yêu cầu: Có kinh nghiệm là lợi thế, có sức khỏe tốt, chịu được áp lực.- Thành thạo các loại vật liệu: kính cường lực, nhôm Xingfa, nhôm cỏ, các loại nhôm hệ, vật tư phụ kiện khác…",Công Ty TNHH Sản Xuất Và Nội Thất Hoàng Gia Phát,"Liên ấp 2-6, KCN Vĩnh Lộc , Thành phố Hồ Chí Minh, Việt Nam",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/20313597/cong-ty-tnhh-san-xuat-va-noi-that-hoang-gia-phat.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e47f'},https://mywork.com.vn/tuyen-dung/viec-lam/100139291/ky-su-thiet-ke.html?svs=max_box,Kỹ Sư Thiết Kế,2021-11-28,https://cdn.mywork.com.vn/company-logo-medium/201706/bf42efe1b36a.png,"['Kiến trúc - Thiết kế nội thất', 'Thiết kế - Mỹ thuật', 'Xây dựng']",10-12 triệu,Nhân viên,1 năm,1639353600000,Không yêu cầu,Toàn thời gian cố định,"- Phụ trách thiết kế hạng mục được giao.- Khảo sát tại hiện trường và đươc ra giải pháp thiết kế phù hợp.- Triển khai bản vẽ cơ sở, bản vẽ kỹ thuật, bản vẽ thi công.- Bóc tách khối lượng.- Thực hiện các công tác khác theo sự phân công của cấp trên.- Địa chỉ làm việc: Km 12+500 quốc lộ 5, thôn Nam Hòa, xã An Hưng, huyện An Dương, TP. Hải Phòng","- Tốt nghiệp Đại học/Cao đẳng chuyên ngành cơ khí, xây dựng…;- Biết sử dụng Autocard, phần mềm thiết kế 3D chuyên dụng, Microsoft office..;- Đọc hiểu tài liệu kỹ thuật bằng tiếng Anh.",Công Ty TNHH Gooiltech,"Km12+500, Đường Năm Cũ Thôn Nam Hòa, Xã An Hưng, Huyện An Dương, Hải Phòng.",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/20314212/cong-ty-tnhh-gooiltech.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e480'},https://mywork.com.vn/tuyen-dung/viec-lam/100141202/chuyen-vien-tu-van-bat-dong-san.html?svs=max_box,Chuyên Viên Tư Vấn Bất Động Sản,2021-11-28,https://cdn.mywork.com.vn/company-logo-medium/022020/2iN9Dffz1RfrkP3yYfYrgMv3T6I5jGUXLWHKYStK.jpeg,"['Bất động sản', 'Nhân viên kinh doanh', 'Tư vấn/ Chăm sóc khách hàng']",7-10 triệu,Nhân viên,Dưới 1 năm,1638403200000,Không yêu cầu,Toàn thời gian cố định,"- Chủ động tìm kiếm, mở rộng thị trường và khai thác khách hàng tiềm năng.- Tư vấn về bất động sản cho các khách hàng có nhu cầu.- Hỗ trợ khách hàng trong các thủ tục giấy tờ giao dịch nhà đất.- Cập nhật thông tin thị trường, sản phẩm nhằm nâng cao kiến thức chuyên môn.- Đề xuất xây dựng các giải pháp nhằm duy trì và mở rộng phát triển hoạt động kinh doanh bất động sản của đội nhóm.- Báo cáo công việc với Trưởng phòng kinh doanh.","- Tuổi từ 20-32- Tốt nghiệp trung cấp trở lên- Sử dụng thành thạo Word, Excel, Powerpoint.- Đam mê kiếm tiền, khai phá tối đa tiềm lực bản thân.- Thái độ tốt, nhanh nhẹn, vui vẻ, hoà đồng &amp; trung thực- Có kinh nghiệm BĐS hoặc sale là lợi thế- Kiên trì, ham học hỏi, cầu tiến trong công việc.",Công Ty Cổ Phần Bất Động Sản Danh Khôi,"105-107 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, Tphcm",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/20501736/cong-ty-co-phan-bat-dong-san-danh-khoi.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e481'},https://mywork.com.vn/tuyen-dung/viec-lam/100139254/nhan-vien-ky-thuat-dien.html?svs=max_box,Nhân Viên Kỹ Thuật Điện,2021-11-28,https://cdn.mywork.com.vn/images/employer_avatar/2021/11/16/images/163702669490.jpeg,"['Điện - Điện tử - Điện lạnh', 'Kỹ thuật', 'Kỹ thuật ứng dụng']",6 - 8 triệu,Nhân viên,1 năm,1639353600000,Không yêu cầu,Toàn thời gian cố định,"1. Sửa chữa các thiết bị  của hãng SUNGROW tại Workshop Hà Nội2. Sửa chữa các thiết bị của hãng SUNGROW tại các nhà máy năng lượng mặt trời, nhà máy ESS và nhà máy điện gió sử dụng thiết bị của hãng SUNGROW (35 x Nhà máy đang sử dụng thiết bị hãng SUNGROW tại Việt Nam)3. Địa điểm làm Việc: Tại workshop Hà Nội - Khu đô thị Gamuda Gardens – P. Yên Sở - Q. Hoàng Mai , Hà Nội","1. Tốt nghiệp Cao đẳng chuyên nghành kỹ thuật Điện/Điện tử2. Kinh nghiệm: ít nhất 1 năm kinh nghiệm làm về linh vực: bảo hành, bảo trì sửa chữa thiết bị điện - điện tử công suất, tủ bảng điện, hệ thống tự động hóa công nghiệp.3. Biết làm báo cáo và tổng hợp báo cáo, lên kế hoạch công việc.4. Trung thực, nhiệt tình và chủ động trong công việc, sẵn sàng đi công tác ngắn ngày ở các tỉnh Nam Trung Bộ, Miền Nam, Tây Nguyên.5. Ưu tiên: Có khả năng đọc hiểu bản vẽ và tài liệu kỹ thuật tiếng anh.",Công Ty Cổ Phần Quảng Cáo Và Cơ Điện Niki,"Số 1G, ngõ 190, phố Hoàng Hoa Thám, Phường Thuỵ Khuê, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/100070946/cong-ty-co-phan-quang-cao-va-co-dien-niki.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e482'},https://mywork.com.vn/tuyen-dung/viec-lam/100140964/nhan-vien-tu-van.html?svs=max_box,Nhân Viên Tư Vấn,2021-11-28,https://cdn.mywork.com.vn/images/employer_avatar/2021/11/04/images/163600039026.png,"['Tư vấn/ Chăm sóc khách hàng', 'Tài chính - Tiền tệ', 'Đầu tư']",7-10 triệu,Nhân viên,Chưa có kinh nghiệm,1639958400000,Không yêu cầu,Toàn thời gian cố định,"Data khách hàng có sẵn, thiết bị công ty cung cấp, việc của bạn chỉ là:- Tư vấn &amp; chăm sóc khách hàng- Nhập dữ liệu khách hàng - Không phải đi thị trường","- Tốt nghiệp THPT trở lên, từ 18 - 30 tuổi- Giọng nói dễ nghe- Không yêu cầu kinh nghiệm",Công Ty TNHH Dịch Vụ Truyền Thông Gadas,"41-43 Xuân Thủy, - Phường Thảo Điền - Thành phố Thủ Đức - TP Hồ Chí Minh",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/100065330/cong-ty-tnhh-dich-vu-truyen-thong-gadas.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e483'},https://mywork.com.vn/tuyen-dung/viec-lam/100141083/ke-toan-vien-hcm.html?svs=max_box,Kế Toán Viên - HCM,2021-11-28,https://cdn.mywork.com.vn/company-logo-medium/102019/67f51137aec32b9147697524c78e5520.png,"['Kế toán - Kiểm toán', 'Tài chính - Tiền tệ', 'Ngân hàng/ Tài Chính']",7-10 triệu,Nhân viên,1 năm,1639353600000,Không yêu cầu,Toàn thời gian cố định,"- Dựa theo đơn Bán hàng và Đặt hàng của các bộ phận liên quan: nhập số liệu xuất kho &amp; NHẬP KHO vào EXCEL và phần mềm Misa.- Đối chiếu số lượng nhập xuất tồn hàng ngày với Thủ Kho- Hàng ngày: lập Báo cáo về Công nợ phải thu, Doanh thu bán hàng, Chi phí, Tồn kho.- Kiểm tra, đối chiếu số liệu giữa các bộ phận, giữa các đơn vị, nội bộ, số liệu chi tiết và tổng hợp.- Tham gia phối hợp công tác kiểm tra, kiểm kê tại kho hàng tháng (nếu có)- Các công tác phát sinh khác liên quan đến phần hành nghiệp vụ, và một số yêu cầu khác sẽ trao đổi trực tiếp trong buổi phỏng vấn.- Địa chỉ làm việc: 146 Đặng Thùy Trâm (Đường Trục cũ) - P.13 - Q. Bình Thạnh","- Tuổi từ 22 đến 45- Trình độ chuyên môn từ trung cấp trở lên chuyên ngành kế toán hoặc các lĩnh vực có liên quan- Biết sử dụng EXCEL, phần mềm Misa ( không biết sẽ được hướng dẫn)- Cẩn thận, trung thực, tự giác làm việc, siêng năng, có tinh thần trách nhiệm cao và chịu được áp lực công việc",Công Ty TNHH Sản Xuất - Xuất Khẩu - Thương Mại Và Dịch Vụ Sơn Hà,146 Đặng Thùy Trâm (Đường Trục cũ) - P.13 - Q. Bình Thạnh,https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/20254282/cong-ty-tnhh-san-xuat-xuat-khau-thuong-mai-va-dich-vu-son-ha.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e484'},https://mywork.com.vn/tuyen-dung/viec-lam/100142653/thu-ky-tong-giam-doc.html?svs=max_box,Thư Ký Tổng Giám Đốc.,2021-11-28,https://cdn.mywork.com.vn/company-logo-medium/112019/bg8UFZZMYyBj91qNy7xp2A4fdjvBWvLUuHPmEKBR.jpeg,"['Hành chính - Văn phòng', 'Nhân sự', 'Thư ký - Trợ lý']",15-20 triệu,Nhân viên,2 năm,1638748800000,Nữ,Toàn thời gian cố định,"- Sắp xếp lịch làm việc, lịch họp, lịch công tác, tổ chức các cuộc họp, ghi chép và tổng hợp nội dung các cuộc họp cho Tổng Giám đốc để phục vụ việc quản lý điều hành.- Chuẩn bị tài liệu, thu thập thông tin cần thiết theo yêu cầu của Tổng Giám đốc. - Tiếp nhận, phân loại, sắp xếp, xử lý thông tin, văn bản, tài liệu từ các Phòng Ban và tổng hợp gửi lên Tổng Giám đốc hàng ngày, tuần, tháng.- Lưu giữ thông tin tài liệu liên quan, văn thư quan trọng của Tổng giám đốc, trong cuộc họp có nhiệm vụ ghi chép và tổng hợp nội dung đầy đủ, lưu thành tài liệu.- Truyền đạt các thông tin của Tổng giám đốc đến các phòng ban ( soạn thảo truyền đạt của Tổng giám đốc thành văn bản hoàn chỉnh và gửi đến các phòng ban ký xác nhận đã nhận đầy đủ thông tin và ghi nhận lại ý kiến phản hồi của các phòng ban gửi lại cho Tổng giám đốc). Giám sát các nội dung triển khai thực hiện của toàn công ty.- Nhắc nhỡ lịch làm việc của Tổng Giám đốc và các phòng ban.- Thực hiện các công việc của Tổng giám đốc chỉ đạo.- Báo cáo công việc thực hiện thường xuyên và trực tiếp cho Lãnh đạo công ty và Tổng Giám đốc.","- Trình độ: Tốt nghiệp đại học chuyên ngành về Kinh tế, Quản trị kinh doanh, Ngoại thương, Ngoại ngữ.- Kinh nghiệm nghề nghiệp: Có sự hiểu biết chung về các hoạt động quản trị của doanh nghiệp.- Có khả năng tổ chức, triển khai công việc một cách độc lập và quản lý thời gian tốt, dành trọn thời gian cho công việc. - Có kỹ năng viết báo cáo; tổng hợp – cập nhật thông tin. - Kỹ năng giao tiếp tốt (có khả năng giao tiếp hiệu quả trong nội bộ với các cấp lãnh đạo và nhân viên cũng như giao tiếp hiệu quả với các tổ chức và khách hàng bên ngoài)- Tác phong chuyên nghiệp, tự tin, nhanh nhẹn, hoạt bát.- Chăm chỉ, chịu khó, gọn gàng, sắp xếp logic các loại giấy tờ đến tác phong trong công việc.- Đi công tác thường xuyên.",Công Ty TNHH Thời Trang Nón Sơn,"199 Hai Bà Trưng, Phường Vó Thị Sáu, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/20533911/cong-ty-tnhh-thoi-trang-non-son.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e485'},https://mywork.com.vn/tuyen-dung/viec-lam/100140386/nhan-vien-lai-xe-bang-b2-hoac-d.html?svs=max_box,Nhân Viên Lái Xe Bằng B2 Hoặc D,2021-11-28,https://cdn.mywork.com.vn/company-logo-medium/112019/a750e6f709bcfc52cf504bb4f0c6aa1a.jpg,"['Vận tải - Lái xe/ Tài xế', 'Vận tải', 'Lao động phổ thông']",8 - 12 triệu,Nhân viên,3 năm,1638403200000,Nam,Toàn thời gian cố định,"- Lái xe  đưa đón cán bộ công nhân viên- Làm giờ hành chính, làm ca theo sự sắp xếp công việc- Làm Việc Tại Hà Nội","- Có bằng dấu D- Đã tiêm tối thiểu 2 mũi vacine Covid-19- Tuổi từ 30-55- Sẵn sàng đi công tác các tỉnh gần Hà Nội- Chịu áp lực công việc, thông thạo đường phố nội thành Hà Nội- Có tinh thần trách nhiệm cao, nhanh nhẹn, tháo vát, và linh hoạt trong công việc",Công Ty TNHH Vận Tải Du Lịch Và Thương Mại Vân Du,"Số 04, tổ 06, Láng Thượng, Đống Đa, Hà Nội",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/20235856/cong-ty-tnhh-van-tai-du-lich-va-thuong-mai-van-du.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e486'},https://mywork.com.vn/tuyen-dung/viec-lam/100142295/nhan-vien-kinh-doanh.html?svs=max_box,Nhân Viên Kinh Doanh,2021-11-28,https://cdn.mywork.com.vn/images/employer_avatar/2021/11/22/images/163757273922.jpeg,"['Nhân viên kinh doanh', 'Y tế - Dược', 'Bán hàng']",10 - 25 triệu,Nhân viên,Không yêu cầu,1638662400000,Không yêu cầu,Toàn thời gian cố định,"- Chăm sóc khách hàng tại địa bàn được phân công theo lịch trình cố định: từ thứ 2 đến hết thứ 6 hàng tuần. Nghỉ thứ 7 và chủ nhật. - Khách hàng chính là những quầy thuốc, nhà thuốc trên địa bàn và đã có sẵn địa chỉ trên danh sách khách hàng của công ty.- Giới thiệu sản phẩm mới, chương trình chăm sóc khách hàng, triển khai chương trình khuyến mại- Chăm sóc khách hàng cũ (đã có sẵn) và mở rộng thêm các khách hàng mới- Gửi đơn hàng về công ty qua hệ thống phần mềm chuyên dụng. - Báo cáo kết quả doanh số cho quản lí cuối mỗi ngày làm việc.","- Chỉ làm duy nhất 01 công ty- Nam, nữ. Tốt nghiệp THPT trở lên- Ưu tiên có bằng dược.- Chịu được áp lực cao.",Công Ty Cổ Phần Dược Phẩm Pasteur - Pháp,"Số 41 TT19, Khu đô thị Văn Phú, Phường Phú La , Quận Hà Đông, Hà Nội",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/100072490/cong-ty-co-phan-duoc-pham-pasteur-phap.html,2021-11-29
{'$oid': '61b5dde6ac3da49adc03e487'},https://mywork.com.vn/tuyen-dung/viec-lam/100142649/nhan-vien-kinh-doanh.html?svs=max_box,Nhân Viên Kinh Doanh,2021-11-29,https://cdn.mywork.com.vn/company-logo-medium/052019/cc45f2c11cd1474e5e3a81a7cf1ffc4b.jpg,"['Nhân viên kinh doanh', 'Quản trị kinh doanh', 'Kinh doanh - Thương mại']",10 - 15 triệu,Nhân viên,Chưa có kinh nghiệm,1640822400000,Không yêu cầu,Toàn thời gian cố định,"-	Tư vấn, giới thiệu các sản phẩm của công ty.-	Lên kế hoạch livestream, tổ chức mini game, quà tặng thu hút khách hàng.-	Chuẩn bị sản phẩm, phối đồ thời trang phù hợp để livestream.-	Có người hướng dẫn cụ thể nếu chưa có kinh nghiệm.","-	Thân thiện, kỹ năng giao tiếp tốt.-	Trẻ trung, năng động, yêu thích thời trang.-	Trung thực, có trách nhiệm trong công việc.-	Ưu tiên ứng viên có kinh nghiệm.",Công Ty TNHH Thiết Kế In Ấn Song Tâm,"20 Bình Giã, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",https://mywork.com.vn/tuyen-dung/nha-tuyen-dung/20449314/cong-ty-tnhh-thiet-ke-in-an-song-tam.html,2021-11-29
